Id,"Month, Day, Year of Date",Team1,Team2,Winner,Runner
336040,25-Apr-10,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians
392239,28-May-11,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
419165,27-May-18,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
501271,24-May-09,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
548381,27-May-12,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
598073,1-Jun-14,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
734049,26-May-13,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings
829823,24-May-15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
981019,21-May-17,Mumbai Indians,Pune Warriors,Mumbai Indians,Pune Warriors
1082650,12-May-19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
1136620,10-Nov-20,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Delhi Daredevils
1181768,1-Jun-08,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings
1237181,29-May-16,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
