Id,Batting Team,Team_Runs
1237180,Sunrisers Hyderabad,172
1237178,Sunrisers Hyderabad,132
1216545,Sunrisers Hyderabad,142
1216542,Sunrisers Hyderabad,201
1216538,Sunrisers Hyderabad,174
1216534,Sunrisers Hyderabad,153
1216532,Sunrisers Hyderabad,162
1216528,Sunrisers Hyderabad,147
1216524,Sunrisers Hyderabad,219
1216518,Sunrisers Hyderabad,156
1216516,Sunrisers Hyderabad,164
1216512,Sunrisers Hyderabad,163
1216507,Sunrisers Hyderabad,158
1216502,Sunrisers Hyderabad,121
1216498,Sunrisers Hyderabad,114
1216495,Sunrisers Hyderabad,151
1181766,Sunrisers Hyderabad,162
1178429,Sunrisers Hyderabad,175
1178426,Sunrisers Hyderabad,162
1178423,Sunrisers Hyderabad,212
1178420,Sunrisers Hyderabad,160
1178416,Sunrisers Hyderabad,175
1178413,Sunrisers Hyderabad,161
1178408,Sunrisers Hyderabad,137
1178405,Sunrisers Hyderabad,116
1178397,Sunrisers Hyderabad,150
1178394,Sunrisers Hyderabad,96
1175371,Sunrisers Hyderabad,131
1175366,Sunrisers Hyderabad,231
1175363,Sunrisers Hyderabad,201
1175357,Sunrisers Hyderabad,181
1136620,Sunrisers Hyderabad,178
1136619,Sunrisers Hyderabad,174
1136617,Sunrisers Hyderabad,139
1136614,Sunrisers Hyderabad,172
1136611,Sunrisers Hyderabad,204
1136606,Sunrisers Hyderabad,179
1136602,Sunrisers Hyderabad,191
1136599,Sunrisers Hyderabad,146
1136596,Sunrisers Hyderabad,164
1136588,Sunrisers Hyderabad,151
1136585,Sunrisers Hyderabad,132
1136583,Sunrisers Hyderabad,118
1136580,Sunrisers Hyderabad,178
1136576,Sunrisers Hyderabad,178
1136570,Sunrisers Hyderabad,139
1136567,Sunrisers Hyderabad,151
1136564,Sunrisers Hyderabad,127
1082648,Sunrisers Hyderabad,128
1082643,Sunrisers Hyderabad,158
1082638,Sunrisers Hyderabad,140
1082634,Sunrisers Hyderabad,136
1082630,Sunrisers Hyderabad,185
1082627,Sunrisers Hyderabad,209
1082623,Sunrisers Hyderabad,207
1082615,Sunrisers Hyderabad,176
1082611,Sunrisers Hyderabad,191
1082609,Sunrisers Hyderabad,159
1082604,Sunrisers Hyderabad,155
1082600,Sunrisers Hyderabad,158
1082596,Sunrisers Hyderabad,140
1082591,Sunrisers Hyderabad,207
981019,Sunrisers Hyderabad,208
981017,Sunrisers Hyderabad,163
981015,Sunrisers Hyderabad,162
981009,Sunrisers Hyderabad,149
981003,Sunrisers Hyderabad,158
980991,Sunrisers Hyderabad,180
980983,Sunrisers Hyderabad,146
980979,Sunrisers Hyderabad,137
980973,Sunrisers Hyderabad,177
980967,Sunrisers Hyderabad,129
980953,Sunrisers Hyderabad,194
980943,Sunrisers Hyderabad,118
980935,Sunrisers Hyderabad,146
980929,Sunrisers Hyderabad,137
980923,Sunrisers Hyderabad,145
980915,Sunrisers Hyderabad,142
980907,Sunrisers Hyderabad,182
829815,Sunrisers Hyderabad,113
829807,Sunrisers Hyderabad,135
829799,Sunrisers Hyderabad,185
829793,Sunrisers Hyderabad,163
829787,Sunrisers Hyderabad,201
829781,Sunrisers Hyderabad,132
829773,Sunrisers Hyderabad,192
829759,Sunrisers Hyderabad,150
829751,Sunrisers Hyderabad,137
829743,Sunrisers Hyderabad,176
829731,Sunrisers Hyderabad,163
829727,Sunrisers Hyderabad,127
829719,Sunrisers Hyderabad,172
829711,Sunrisers Hyderabad,164
734037,Sunrisers Hyderabad,160
734029,Sunrisers Hyderabad,189
734021,Sunrisers Hyderabad,161
734015,Sunrisers Hyderabad,142
734007,Sunrisers Hyderabad,205
734001,Sunrisers Hyderabad,157
733993,Sunrisers Hyderabad,44
733989,Sunrisers Hyderabad,134
733977,Sunrisers Hyderabad,155
729317,Sunrisers Hyderabad,172
729311,Sunrisers Hyderabad,145
729301,Sunrisers Hyderabad,184
729295,Sunrisers Hyderabad,121
729285,Sunrisers Hyderabad,133
598071,Sunrisers Hyderabad,132
598069,Sunrisers Hyderabad,132
598065,Sunrisers Hyderabad,136
598060,Sunrisers Hyderabad,178
598056,Sunrisers Hyderabad,150
598051,Sunrisers Hyderabad,146
598048,Sunrisers Hyderabad,161
598044,Sunrisers Hyderabad,81
598039,Sunrisers Hyderabad,130
598032,Sunrisers Hyderabad,144
598030,Sunrisers Hyderabad,159
598021,Sunrisers Hyderabad,127
598018,Sunrisers Hyderabad,119
598013,Sunrisers Hyderabad,132
598010,Sunrisers Hyderabad,115
598004,Sunrisers Hyderabad,130
598000,Sunrisers Hyderabad,126
1237178,Royal Challengers Bangalore,131
1216547,Royal Challengers Bangalore,201
1216544,Royal Challengers Bangalore,145
1216540,Royal Challengers Bangalore,194
1216534,Royal Challengers Bangalore,163
1216531,Royal Challengers Bangalore,171
1216525,Royal Challengers Bangalore,169
1216522,Royal Challengers Bangalore,179
1216519,Royal Challengers Bangalore,137
1216514,Royal Challengers Bangalore,158
1216510,Royal Challengers Bangalore,109
1216505,Royal Challengers Bangalore,152
1216502,Royal Challengers Bangalore,120
1216499,Royal Challengers Bangalore,164
1216494,Royal Challengers Bangalore,85
1178429,Royal Challengers Bangalore,178
1178424,Royal Challengers Bangalore,62
1178421,Royal Challengers Bangalore,171
1178417,Royal Challengers Bangalore,202
1178414,Royal Challengers Bangalore,161
1178410,Royal Challengers Bangalore,213
1178406,Royal Challengers Bangalore,171
1178403,Royal Challengers Bangalore,174
1178395,Royal Challengers Bangalore,149
1175372,Royal Challengers Bangalore,205
1175369,Royal Challengers Bangalore,158
1175366,Royal Challengers Bangalore,113
1175362,Royal Challengers Bangalore,181
1175356,Royal Challengers Bangalore,70
1136613,Royal Challengers Bangalore,134
1136611,Royal Challengers Bangalore,218
1136608,Royal Challengers Bangalore,92
1136605,Royal Challengers Bangalore,187
1136599,Royal Challengers Bangalore,141
1136595,Royal Challengers Bangalore,127
1136591,Royal Challengers Bangalore,167
1136589,Royal Challengers Bangalore,175
1136584,Royal Challengers Bangalore,205
1136579,Royal Challengers Bangalore,176
1136574,Royal Challengers Bangalore,167
1136571,Royal Challengers Bangalore,198
1136568,Royal Challengers Bangalore,159
1136563,Royal Challengers Bangalore,176
1082646,Royal Challengers Bangalore,161
1082636,Royal Challengers Bangalore,158
1082633,Royal Challengers Bangalore,119
1082628,Royal Challengers Bangalore,162
1082624,Royal Challengers Bangalore,96
1082621,Royal Challengers Bangalore,134
1082617,Royal Challengers Bangalore,49
1082610,Royal Challengers Bangalore,213
1082607,Royal Challengers Bangalore,134
1082602,Royal Challengers Bangalore,142
1082598,Royal Challengers Bangalore,148
1082595,Royal Challengers Bangalore,157
1082591,Royal Challengers Bangalore,172
981019,Royal Challengers Bangalore,200
981013,Royal Challengers Bangalore,159
981011,Royal Challengers Bangalore,139
